transaction_id,amount,payment_method,failure_reason,bank,hour_of_day,day_of_week,is_weekend,prev_retry_attempts,customer_success_rate_history,retry_success
txn_000035,562.24,Wallet,insufficient_funds,Kotak,18,3,0,0,0.853,0
txn_000036,595.3,UPI,network_timeout,SBI,20,1,0,0,0.677,0
txn_000037,348.86,Wallet,card_declined,HDFC,12,3,0,0,0.288,0
txn_000038,617.94,Netbanking,wrong_otp,Kotak,0,1,0,1,0.655,1
txn_000039,936.79,Credit Card,bank_server_down,HDFC,4,5,1,2,0.957,0
txn_000040,1920.7,UPI,insufficient_funds,HDFC,7,6,1,1,0.705,0
txn_000041,2948.48,Netbanking,bank_server_down,IDFC,18,6,1,0,0.665,1
txn_000042,1581.41,Netbanking,bank_server_down,Yes Bank,22,1,0,2,0.938,0
txn_000043,107.85,Credit Card,bank_server_down,SBI,14,0,0,0,0.594,0
txn_000044,248.21,UPI,network_timeout,SBI,18,2,0,1,0.771,1
txn_000045,600.67,Netbanking,insufficient_funds,ICICI,14,0,0,1,0.714,1
txn_000046,3445.99,UPI,network_timeout,Yes Bank,13,2,0,0,0.709,1
txn_000047,892.18,UPI,wrong_otp,IDFC,9,6,1,0,0.812,0
txn_000048,8719.57,Debit Card,network_timeout,Kotak,21,1,0,1,0.902,0
txn_000049,164.26,UPI,wrong_otp,Yes Bank,21,4,0,0,0.831,1
txn_000050,1476.58,Netbanking,insufficient_funds,SBI,14,5,1,1,0.665,0
txn_000051,310.05,Debit Card,insufficient_funds,ICICI,0,3,0,0,0.825,0
txn_000052,314.83,Credit Card,wrong_otp,HDFC,4,6,1,1,0.166,0
txn_000053,964.05,Netbanking,network_timeout,ICICI,8,1,0,0,0.594,1
txn_000054,427.33,Debit Card,insufficient_funds,Yes Bank,18,2,0,2,0.839,1
txn_000055,136.97,Credit Card,wrong_otp,IDFC,0,6,1,0,0.703,0
txn_000056,1106.97,Credit Card,bank_server_down,Axis,19,5,1,2,0.726,1
txn_000057,725.63,Debit Card,network_timeout,HDFC,14,3,0,0,0.224,1
txn_000058,1005.7,Debit Card,insufficient_funds,SBI,10,2,0,0,0.841,0
txn_000059,1584.22,Netbanking,insufficient_funds,Kotak,10,3,0,0,0.438,0
txn_000060,607.76,UPI,insufficient_funds,HDFC,13,4,0,2,0.791,0
txn_000061,1069.9,UPI,bank_server_down,Axis,2,6,1,0,0.837,0
txn_000062,520.22,Credit Card,insufficient_funds,SBI,6,3,0,0,0.541,0
txn_000063,6481.14,Debit Card,insufficient_funds,Axis,21,3,0,1,0.716,0
txn_000064,643.71,UPI,wrong_otp,HDFC,7,2,0,0,0.462,0
txn_000065,377.01,Credit Card,insufficient_funds,HDFC,2,1,0,0,0.772,0
txn_000066,307.81,Debit Card,insufficient_funds,IDFC,7,5,1,0,0.65,1
txn_000067,463.61,Wallet,card_declined,Yes Bank,4,5,1,0,0.961,0
txn_000068,478.51,UPI,insufficient_funds,ICICI,19,4,0,0,0.581,1
txn_000069,1757.81,Debit Card,insufficient_funds,Yes Bank,16,1,0,0,0.423,0
txn_000070,895.43,Debit Card,expired_card,ICICI,4,2,0,1,0.877,0
txn_000071,859.22,Debit Card,insufficient_funds,Yes Bank,11,4,0,1,0.967,0
txn_000072,770.63,UPI,network_timeout,SBI,20,2,0,0,0.858,1
txn_000073,115.03,Debit Card,risk_flagged,Kotak,14,3,0,0,0.667,0
txn_000074,355.33,UPI,bank_server_down,Kotak,6,2,0,2,0.973,0
txn_000075,279.05,UPI,expired_card,IDFC,15,2,0,2,0.806,0
txn_000076,737.66,Wallet,risk_flagged,IDFC,16,6,1,1,0.624,0
txn_000077,684.25,UPI,network_timeout,IDFC,17,2,0,1,0.802,1
txn_000078,2524.65,UPI,card_declined,Axis,3,4,0,1,0.617,0
txn_000079,1357.5,Wallet,insufficient_funds,Kotak,2,2,0,1,0.814,0
txn_000080,886.23,Wallet,network_timeout,HDFC,0,5,1,0,0.334,0
txn_000081,96.19,UPI,risk_flagged,IDFC,23,3,0,0,0.433,0
txn_000082,572.96,Credit Card,insufficient_funds,Axis,21,4,0,1,0.74,1
txn_000083,2753.16,Debit Card,card_declined,IDFC,16,2,0,1,0.338,0
txn_000084,363.35,Netbanking,insufficient_funds,Axis,1,3,0,0,0.715,0
txn_000085,1154.09,UPI,card_declined,ICICI,15,4,0,2,0.603,0
txn_000086,845.58,Credit Card,network_timeout,HDFC,7,3,0,3,0.616,0
txn_000087,386.87,Netbanking,network_timeout,SBI,6,6,1,0,0.883,1
txn_000088,533.15,UPI,wrong_otp,IDFC,18,5,1,0,0.802,0
txn_000089,552.04,Debit Card,insufficient_funds,Axis,16,3,0,0,0.507,1
txn_000090,2005.54,Wallet,expired_card,Axis,11,6,1,0,0.724,0
txn_000091,156.33,UPI,wrong_otp,Axis,6,6,1,2,0.274,1
txn_000092,104.92,UPI,bank_server_down,Kotak,5,6,1,1,0.596,1
txn_000093,1349.81,UPI,insufficient_funds,Kotak,13,1,0,1,0.624,0
txn_000094,150.39,UPI,card_declined,Axis,21,5,1,0,0.721,1
txn_000095,136.47,Debit Card,bank_server_down,IDFC,12,0,0,2,0.828,0
txn_000096,2172.02,Credit Card,card_declined,Axis,17,3,0,0,0.75,0
txn_000097,406.07,UPI,card_declined,IDFC,16,2,0,0,0.431,1
txn_000098,372.61,Netbanking,risk_flagged,Axis,6,2,0,1,0.552,0
txn_000099,493.59,UPI,insufficient_funds,IDFC,18,1,0,0,0.815,0
txn_000100,690.91,UPI,insufficient_funds,SBI,9,2,0,1,0.784,0
txn_000101,1593.65,Debit Card,bank_server_down,Axis,23,1,0,2,0.652,0
txn_000102,185.45,UPI,card_declined,Yes Bank,17,4,0,1,0.492,0
txn_000103,2098.05,Netbanking,bank_server_down,IDFC,5,0,0,0,0.383,1
txn_000104,1025.71,UPI,expired_card,IDFC,21,5,1,0,0.841,0
txn_000105,1551.66,Netbanking,insufficient_funds,Yes Bank,4,0,0,2,0.853,0
txn_000106,192.99,Credit Card,risk_flagged,Kotak,4,4,0,0,0.552,0
txn_000107,1662.92,Debit Card,insufficient_funds,HDFC,23,6,1,1,0.86,1
txn_000108,1149.65,UPI,insufficient_funds,IDFC,22,6,1,2,0.603,1
txn_000109,1539.46,Debit Card,card_declined,SBI,1,1,0,1,0.879,0
txn_000110,1208.82,Debit Card,risk_flagged,SBI,8,6,1,0,0.777,0
txn_000111,1595.33,UPI,bank_server_down,Kotak,0,0,0,1,0.714,1
txn_000112,422.32,Credit Card,wrong_otp,ICICI,11,4,0,0,0.403,1
txn_000113,507.45,Debit Card,expired_card,Kotak,15,6,1,0,0.935,0
txn_000114,278.5,UPI,insufficient_funds,Axis,14,3,0,1,0.805,0
txn_000115,387.49,UPI,card_declined,ICICI,23,0,0,1,0.583,1
txn_000116,851.92,Credit Card,expired_card,IDFC,8,1,0,0,0.758,0
txn_000117,1329.69,UPI,network_timeout,ICICI,6,1,0,2,0.832,1
txn_000118,2263.31,Credit Card,insufficient_funds,Kotak,10,1,0,0,0.773,0
txn_000119,900.26,UPI,card_declined,SBI,9,6,1,1,0.918,1
txn_000120,840.32,Credit Card,bank_server_down,Axis,5,1,0,1,0.813,1
txn_000121,110.38,Wallet,card_declined,IDFC,22,1,0,0,0.874,0
txn_000122,162.85,Wallet,risk_flagged,Axis,0,0,0,1,0.878,0
txn_000123,681.88,UPI,insufficient_funds,Kotak,1,0,0,0,0.638,0
txn_000124,214.55,Netbanking,wrong_otp,Yes Bank,4,3,0,0,0.507,0
txn_000125,1211.48,UPI,bank_server_down,ICICI,1,2,0,0,0.716,1
txn_000126,492.68,UPI,wrong_otp,HDFC,5,0,0,1,0.855,1
txn_000127,198.4,Netbanking,insufficient_funds,IDFC,1,3,0,0,0.928,0
txn_000128,360.18,Debit Card,card_declined,IDFC,15,3,0,1,0.82,1
txn_000129,584.93,Debit Card,card_declined,Kotak,2,6,1,1,0.759,0
txn_000130,385.2,UPI,network_timeout,Kotak,6,4,0,0,0.89,1
txn_000131,1383.46,Debit Card,insufficient_funds,ICICI,2,0,0,2,0.513,0
txn_000132,1197.75,UPI,risk_flagged,Axis,22,1,0,0,0.728,1
txn_000133,529.02,UPI,expired_card,IDFC,22,2,0,2,0.983,1
txn_000134,423.52,Wallet,risk_flagged,SBI,4,4,0,2,0.533,0
txn_000135,538.43,UPI,insufficient_funds,Yes Bank,22,5,1,1,0.868,1
txn_000136,461.76,Credit Card,card_declined,ICICI,7,1,0,0,0.917,1
txn_000137,904.52,UPI,insufficient_funds,SBI,2,1,0,4,0.638,0
txn_000138,290.48,Debit Card,insufficient_funds,Yes Bank,12,1,0,0,0.926,0
txn_000139,1170.88,Debit Card,network_timeout,SBI,6,3,0,1,0.569,0
txn_000140,182.45,Wallet,insufficient_funds,ICICI,20,5,1,1,0.783,1
txn_000141,1520.8,UPI,network_timeout,Yes Bank,19,2,0,2,0.833,1
txn_000142,3572.76,UPI,insufficient_funds,Yes Bank,20,1,0,1,0.628,0
txn_000143,521.03,UPI,wrong_otp,IDFC,23,1,0,1,0.583,1
txn_000144,726.62,Debit Card,expired_card,Kotak,15,4,0,0,0.915,0
txn_000145,276.15,Debit Card,expired_card,Axis,5,3,0,0,0.543,0
txn_000146,392.38,Credit Card,expired_card,SBI,16,2,0,0,0.852,0
txn_000147,777.73,UPI,network_timeout,ICICI,3,5,1,1,0.635,1
txn_000148,601.75,UPI,network_timeout,HDFC,6,2,0,0,0.728,0
txn_000149,58.9,UPI,insufficient_funds,Axis,6,5,1,1,0.796,0
txn_000150,1000.59,UPI,insufficient_funds,HDFC,4,2,0,1,0.69,0
txn_000151,1252.58,UPI,card_declined,IDFC,22,0,0,1,0.741,1
txn_000152,222.44,UPI,bank_server_down,HDFC,21,0,0,1,0.618,1
txn_000153,354.79,Debit Card,bank_server_down,SBI,6,4,0,0,0.769,0
txn_000154,724.93,Netbanking,network_timeout,SBI,16,6,1,1,0.877,1
txn_000155,744.92,Credit Card,bank_server_down,SBI,23,3,0,1,0.656,1
txn_000156,972.7,UPI,card_declined,Axis,12,2,0,1,0.692,0
txn_000157,318.68,Debit Card,bank_server_down,Yes Bank,8,3,0,1,0.889,1
txn_000158,2180.67,Wallet,expired_card,SBI,19,1,0,0,0.844,0
txn_000159,79.69,Wallet,risk_flagged,Axis,1,5,1,1,0.536,0
txn_000160,1040.4,UPI,bank_server_down,IDFC,22,5,1,3,0.693,1
txn_000161,1195.95,Debit Card,insufficient_funds,Axis,22,6,1,0,0.786,0
txn_000162,944.48,UPI,network_timeout,Axis,2,3,0,1,0.683,1
txn_000163,856.57,Credit Card,network_timeout,Yes Bank,13,2,0,0,0.68,0
txn_000164,1545.98,UPI,risk_flagged,ICICI,12,6,1,1,0.475,0
txn_000165,100.97,UPI,insufficient_funds,HDFC,10,4,0,0,0.557,1
txn_000166,380.65,UPI,insufficient_funds,HDFC,10,5,1,1,0.466,0
txn_000167,216.93,Netbanking,card_declined,HDFC,18,1,0,0,0.739,0
txn_000168,514.61,Debit Card,insufficient_funds,Axis,21,3,0,2,0.541,0
txn_000169,533.68,Credit Card,insufficient_funds,SBI,7,5,1,1,0.51,0
txn_000170,61.29,UPI,insufficient_funds,ICICI,9,2,0,0,0.682,0
txn_000171,4452.36,Netbanking,wrong_otp,IDFC,18,2,0,0,0.911,1
txn_000172,410.32,Debit Card,card_declined,HDFC,12,6,1,0,0.846,1
txn_000173,1668.61,UPI,insufficient_funds,Axis,11,1,0,0,0.487,1
txn_000174,817.89,Credit Card,wrong_otp,SBI,2,3,0,1,0.723,0
txn_000175,780.44,UPI,bank_server_down,Kotak,22,0,0,0,0.679,1
txn_000176,1127.85,Netbanking,card_declined,Axis,11,6,1,1,0.787,0
txn_000177,488.81,UPI,card_declined,Kotak,19,2,0,0,0.939,1
txn_000178,2257.75,UPI,card_declined,Kotak,23,3,0,1,0.743,1
txn_000179,513.48,UPI,risk_flagged,SBI,9,4,0,1,0.944,0
txn_000180,305.54,UPI,expired_card,Yes Bank,3,4,0,0,0.593,0
txn_000181,386.58,UPI,insufficient_funds,Yes Bank,11,4,0,2,0.576,1
txn_000182,499.69,Netbanking,card_declined,HDFC,23,1,0,0,0.588,1
txn_000183,3171.33,Credit Card,insufficient_funds,Yes Bank,10,6,1,0,0.524,1
txn_000184,205.9,Credit Card,network_timeout,IDFC,22,1,0,0,0.803,0
txn_000185,1305.58,Netbanking,bank_server_down,Axis,18,6,1,1,0.844,1
txn_000186,1814.5,Credit Card,risk_flagged,ICICI,21,4,0,0,0.581,0
txn_000187,1833.73,Credit Card,network_timeout,SBI,18,1,0,2,0.679,0
txn_000188,2169.94,Debit Card,card_declined,IDFC,8,1,0,0,0.858,1
txn_000189,581.28,UPI,expired_card,SBI,5,1,0,0,0.837,0
txn_000190,327.15,UPI,bank_server_down,IDFC,13,5,1,0,0.792,1
txn_000191,166.86,UPI,card_declined,Yes Bank,9,1,0,1,0.465,0
txn_000192,240.75,UPI,risk_flagged,ICICI,11,6,1,0,0.474,0
txn_000193,359.38,Credit Card,risk_flagged,ICICI,7,0,0,0,0.888,0
txn_000194,202.54,Debit Card,insufficient_funds,IDFC,0,3,0,1,0.649,0
txn_000195,810.23,UPI,network_timeout,Axis,4,1,0,0,0.413,0
txn_000196,288.92,UPI,network_timeout,Kotak,17,4,0,2,0.39,1
txn_000197,3301.9,UPI,card_declined,ICICI,2,3,0,1,0.41,1
txn_000198,487.48,Debit Card,wrong_otp,IDFC,20,1,0,0,0.78,0
txn_000199,47.52,Credit Card,card_declined,Kotak,10,0,0,2,0.891,0
txn_000200,806.12,UPI,bank_server_down,HDFC,22,1,0,0,0.558,1
txn_000201,758.32,Credit Card,network_timeout,IDFC,23,4,0,0,0.728,1
txn_000202,597.31,UPI,expired_card,HDFC,22,4,0,1,0.539,1
txn_000203,2829.52,Debit Card,bank_server_down,SBI,10,4,0,2,0.46,1
txn_000204,106.09,Debit Card,insufficient_funds,HDFC,17,4,0,1,0.808,1
txn_000205,573.72,Credit Card,risk_flagged,Yes Bank,17,5,1,1,0.622,1
txn_000206,1198.17,UPI,expired_card,SBI,11,2,0,0,0.436,1
txn_000207,484.07,UPI,insufficient_funds,SBI,6,0,0,0,0.8,0
txn_000208,1217.45,Debit Card,card_declined,SBI,21,4,0,0,0.83,0
txn_000209,1230.32,Credit Card,card_declined,Axis,20,5,1,3,0.534,0
txn_000210,1381.28,Netbanking,insufficient_funds,ICICI,10,0,0,0,0.586,0
txn_000211,139.18,Debit Card,bank_server_down,Axis,6,6,1,2,0.717,0
txn_000212,301.06,Credit Card,insufficient_funds,Yes Bank,3,1,0,1,0.866,0
txn_000213,1394.92,UPI,network_timeout,IDFC,20,3,0,0,0.877,1
txn_000214,2012.21,UPI,card_declined,Axis,3,6,1,0,0.495,0
txn_000215,1346.64,UPI,insufficient_funds,SBI,21,4,0,0,0.421,0
txn_000216,70.76,Credit Card,insufficient_funds,ICICI,15,3,0,1,0.595,1
txn_000217,482.67,UPI,insufficient_funds,IDFC,0,6,1,2,0.901,0
txn_000218,1390.44,Wallet,network_timeout,IDFC,12,6,1,1,0.803,0
txn_000219,897.71,Credit Card,network_timeout,IDFC,3,2,0,1,0.674,1
txn_000220,633.84,Debit Card,expired_card,SBI,10,1,0,2,0.872,0
txn_000221,553.8,Wallet,card_declined,Axis,15,3,0,0,0.768,1
txn_000222,1343.39,Credit Card,insufficient_funds,HDFC,17,0,0,1,0.804,0
txn_000223,2831.32,UPI,network_timeout,Axis,23,1,0,2,0.776,1
txn_000224,971.33,Credit Card,insufficient_funds,HDFC,11,6,1,0,0.917,0
txn_000225,712.9,UPI,insufficient_funds,Yes Bank,19,2,0,0,0.415,0
txn_000226,1728.96,Credit Card,bank_server_down,Yes Bank,8,2,0,0,0.78,1
txn_000227,935.04,Credit Card,card_declined,HDFC,12,3,0,1,0.634,0
txn_000228,2861.52,UPI,card_declined,ICICI,17,2,0,0,0.807,0
txn_000229,133.41,UPI,card_declined,HDFC,10,0,0,1,0.911,0
txn_000230,101.75,Credit Card,card_declined,Yes Bank,15,6,1,4,0.917,0
txn_000231,690.86,Netbanking,card_declined,HDFC,6,0,0,3,0.481,0
txn_000232,2373.35,UPI,network_timeout,ICICI,1,6,1,0,0.707,0
txn_000233,333.71,UPI,network_timeout,Yes Bank,5,1,0,0,0.83,1
txn_000234,1148.79,Debit Card,insufficient_funds,Axis,23,1,0,1,0.866,0
txn_000235,170.14,Netbanking,network_timeout,Kotak,8,5,1,1,0.81,1
txn_000236,1220.3,Credit Card,insufficient_funds,Kotak,22,4,0,1,0.427,0
txn_000237,781.37,Credit Card,bank_server_down,Yes Bank,10,1,0,1,0.585,1
txn_000238,399.52,UPI,bank_server_down,Yes Bank,23,2,0,1,0.987,1
txn_000239,181.79,Netbanking,card_declined,IDFC,12,0,0,0,0.615,1
txn_000240,434.86,Debit Card,expired_card,HDFC,16,5,1,1,0.955,1
txn_000241,3860.76,Debit Card,network_timeout,SBI,11,2,0,0,0.427,1
txn_000242,658.2,Credit Card,insufficient_funds,ICICI,7,5,1,0,0.873,0
txn_000243,949.54,Wallet,insufficient_funds,Kotak,9,4,0,0,0.79,0
txn_000244,164.49,UPI,risk_flagged,Yes Bank,10,1,0,1,0.54,1
txn_000245,1006.92,Debit Card,wrong_otp,HDFC,2,4,0,0,0.413,0
txn_000246,467.86,Credit Card,bank_server_down,ICICI,3,1,0,1,0.893,1
txn_000247,242.73,UPI,bank_server_down,Axis,9,3,0,1,0.58,1
txn_000248,1145.25,Credit Card,card_declined,SBI,0,5,1,0,0.894,0
txn_000249,193.93,Debit Card,network_timeout,Yes Bank,23,3,0,2,0.916,0
txn_000250,949.46,UPI,insufficient_funds,IDFC,6,4,0,2,0.643,1
txn_000251,295.52,Netbanking,expired_card,SBI,14,4,0,0,0.535,0
txn_000252,2025.07,Credit Card,insufficient_funds,SBI,15,4,0,2,0.897,1
txn_000253,779.89,UPI,wrong_otp,SBI,4,2,0,0,0.822,0
txn_000254,669.03,UPI,network_timeout,IDFC,10,4,0,1,0.744,1
txn_000255,1211.04,UPI,insufficient_funds,ICICI,14,0,0,1,0.746,0
txn_000256,1162.28,UPI,insufficient_funds,Kotak,16,5,1,1,0.655,0
txn_000257,1391.99,Debit Card,card_declined,Kotak,14,2,0,1,0.751,0
txn_000258,409.68,Wallet,network_timeout,ICICI,18,5,1,0,0.923,0
txn_000259,522.44,Debit Card,expired_card,Axis,23,6,1,1,0.764,0
txn_000260,213.03,UPI,network_timeout,IDFC,17,5,1,1,0.853,1
txn_000261,898.84,Credit Card,insufficient_funds,SBI,11,3,0,0,0.848,0
txn_000262,352.29,Debit Card,wrong_otp,SBI,11,0,0,1,0.809,0
txn_000263,403.68,Debit Card,wrong_otp,Axis,5,2,0,1,0.669,1
txn_000264,686.62,Debit Card,wrong_otp,Kotak,13,6,1,0,0.482,0
txn_000265,533.92,UPI,risk_flagged,Kotak,5,6,1,1,0.878,1
txn_000266,807.63,UPI,card_declined,HDFC,20,1,0,1,0.603,0
txn_000267,362.15,Credit Card,insufficient_funds,ICICI,7,1,0,4,0.661,0
txn_000268,749.57,UPI,card_declined,ICICI,12,2,0,0,0.852,1
txn_000269,1614.42,UPI,insufficient_funds,HDFC,19,0,0,1,0.795,0
txn_000270,924.74,UPI,insufficient_funds,HDFC,10,1,0,0,0.624,1
txn_000271,4224.3,UPI,insufficient_funds,Kotak,12,2,0,1,0.859,0
txn_000272,809.04,Credit Card,card_declined,Yes Bank,1,5,1,3,0.609,0
txn_000273,528.72,UPI,bank_server_down,HDFC,11,1,0,1,0.563,1
txn_000274,671.75,Debit Card,network_timeout,ICICI,18,2,0,0,0.492,1
txn_000275,1036.16,Debit Card,bank_server_down,IDFC,15,0,0,0,0.738,1
txn_000276,1003.1,UPI,card_declined,ICICI,13,3,0,1,0.297,1
txn_000277,803.09,Credit Card,card_declined,ICICI,9,0,0,1,0.881,1
txn_000278,518.86,UPI,risk_flagged,ICICI,0,3,0,2,0.707,0
txn_000279,144.64,UPI,network_timeout,IDFC,1,6,1,0,0.806,0
txn_000280,829.88,Netbanking,network_timeout,Yes Bank,5,2,0,0,0.876,1
txn_000281,283.9,Debit Card,insufficient_funds,IDFC,7,4,0,1,0.514,0
txn_000282,833.55,Credit Card,risk_flagged,ICICI,19,5,1,0,0.743,0
txn_000283,328.14,Credit Card,risk_flagged,Axis,2,0,0,1,0.748,1
txn_000284,577.5,UPI,network_timeout,Yes Bank,13,4,0,0,0.676,1
txn_000285,391.77,Netbanking,wrong_otp,Yes Bank,7,6,1,2,0.654,0
txn_000286,3401.11,UPI,network_timeout,SBI,12,6,1,1,0.533,1
txn_000287,414.36,Credit Card,bank_server_down,Axis,5,2,0,1,0.673,0
txn_000288,461.49,UPI,insufficient_funds,Yes Bank,15,6,1,0,0.727,0
txn_000289,1178.96,Credit Card,bank_server_down,Axis,1,4,0,1,0.671,1
txn_000290,256.58,UPI,network_timeout,Yes Bank,12,6,1,0,0.823,1
txn_000291,2485.68,Credit Card,insufficient_funds,Axis,10,6,1,0,0.404,0
txn_000292,325.16,Debit Card,insufficient_funds,IDFC,13,6,1,0,0.853,1
txn_000293,384.23,UPI,bank_server_down,Kotak,14,3,0,0,0.846,1
txn_000294,1662.51,Debit Card,wrong_otp,Kotak,9,4,0,2,0.803,0
txn_000295,779.03,UPI,card_declined,Kotak,10,5,1,1,0.798,0
txn_000296,934.96,UPI,wrong_otp,ICICI,17,4,0,0,0.44,0
txn_000297,4144.84,UPI,wrong_otp,ICICI,19,1,0,0,0.966,0
txn_000298,1017.85,Credit Card,network_timeout,ICICI,14,1,0,0,0.531,1
txn_000299,1636.64,UPI,bank_server_down,ICICI,11,2,0,1,0.67,1
txn_000300,566.19,Debit Card,insufficient_funds,Axis,23,0,0,1,0.818,0
txn_000301,539.68,Wallet,insufficient_funds,HDFC,11,1,0,0,0.904,0
txn_000302,2335.48,UPI,card_declined,Yes Bank,4,3,0,0,0.579,0
txn_000303,1034.12,Debit Card,network_timeout,Yes Bank,3,5,1,1,0.553,0
txn_000304,298.21,UPI,insufficient_funds,SBI,6,6,1,0,0.714,1
txn_000305,266.06,Credit Card,bank_server_down,Yes Bank,18,5,1,0,0.762,1
txn_000306,387.51,UPI,card_declined,Axis,0,3,0,0,0.735,0
txn_000307,293.62,Credit Card,bank_server_down,Kotak,19,5,1,1,0.394,1
txn_000308,3870.69,UPI,network_timeout,SBI,12,2,0,0,0.804,0
txn_000309,109.23,UPI,insufficient_funds,ICICI,22,2,0,0,0.603,0
txn_000310,4773.64,UPI,insufficient_funds,ICICI,13,3,0,0,0.497,1
txn_000311,330.52,Credit Card,insufficient_funds,ICICI,18,4,0,1,0.745,0
txn_000312,827.18,UPI,wrong_otp,Kotak,14,0,0,0,0.617,1
txn_000313,905.14,Wallet,bank_server_down,Yes Bank,5,1,0,1,0.868,1
txn_000314,7666.25,UPI,insufficient_funds,ICICI,17,5,1,1,0.717,1
txn_000315,822.69,UPI,insufficient_funds,ICICI,23,2,0,0,0.702,1
txn_000316,4781.66,Netbanking,wrong_otp,SBI,16,6,1,2,0.585,0
txn_000317,206.91,Debit Card,insufficient_funds,IDFC,22,1,0,0,0.833,0
txn_000318,990.98,Netbanking,card_declined,HDFC,6,0,0,1,0.946,1
txn_000319,526.19,UPI,insufficient_funds,IDFC,4,1,0,0,0.744,0
txn_000320,628.23,Debit Card,wrong_otp,Axis,22,0,0,0,0.808,0
txn_000321,769.33,Credit Card,insufficient_funds,Yes Bank,9,4,0,1,0.694,0
txn_000322,1863.55,UPI,bank_server_down,Yes Bank,18,2,0,0,0.702,1
txn_000323,1149.36,Credit Card,wrong_otp,HDFC,6,6,1,3,0.605,0
txn_000324,700.83,Netbanking,expired_card,Axis,8,3,0,0,0.564,0
txn_000325,2095.48,Credit Card,insufficient_funds,Axis,8,3,0,1,0.571,0
txn_000326,1237.38,UPI,insufficient_funds,ICICI,22,4,0,0,0.835,1
txn_000327,6680.99,Wallet,insufficient_funds,Yes Bank,10,6,1,1,0.811,0
txn_000328,780.33,Credit Card,insufficient_funds,Yes Bank,1,6,1,0,0.62,0
txn_000329,117.92,Debit Card,bank_server_down,Yes Bank,20,0,0,0,0.743,1
txn_000330,599.78,Netbanking,bank_server_down,IDFC,22,2,0,1,0.606,1
txn_000331,181.42,UPI,card_declined,Kotak,7,4,0,0,0.785,0
txn_000332,543.58,UPI,insufficient_funds,Yes Bank,5,4,0,0,0.735,0
txn_000333,1408.73,Debit Card,bank_server_down,Kotak,12,0,0,2,0.645,0
txn_000334,1115.91,Credit Card,insufficient_funds,ICICI,17,1,0,0,0.793,0
txn_000335,331.72,Debit Card,network_timeout,HDFC,19,4,0,1,0.46,1
txn_000336,1928.47,UPI,risk_flagged,IDFC,14,1,0,1,0.833,0
